Salutation,First Name,Middle Name,Last Name,Organization,Title,Phone,Mobile Phone,Fax,Email,Website,Street,City,State,PostalCode,Country,Industry,Number of Employees,Rating,Lead Source,Status,Description,Responsible User,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag List
,,,bebesdaterra - 1,bebesdaterra - 1,,,,,,http://loja.bebesdaterra.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Baby // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Apparel/Accessories,,,,,,,
,,,dot-baby - 2,dot-baby - 2,,,,,,http://www.dot-baby.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Baby // 1. Screening phase: Mainly offline business no IT/emkt inhouse  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Apparel/Accessories,,,,,,,
,,,Oil2Wax  - 3,Oil2Wax  - 3,,,,,,http://www.thegreatestcandle.com/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Candles // 1. Screening phase: Advance to phase II Difficult business model // Reference: 1st list // Final output: Meeting(s) // Meeting date: 15/3/2013,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,aromasdocha - 4,aromasdocha - 4,,,,,,http://aromasdocha.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Coffee & Tea // 1. Screening phase: Financial distress  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,chasdomundo - 5,chasdomundo - 5,,,,,,http://www.chasdomundo.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Coffee & Tea // 1. Screening phase: Not distinctive  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,it-tea - 6,it-tea - 6,,,,,,http://www.it-tea.com/pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Coffee & Tea // 1. Screening phase: Not distinctive Bsolus customer  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,coisasdocha - 7,coisasdocha - 7,,,,,,http://www.coisasdocha.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Coffee & Tea // 1. Screening phase: Financial distress  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,imperiodocha - 8,imperiodocha - 8,,,,,,http://www.imperiodocha.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Coffee & Tea // 1. Screening phase: Lack of public info  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,lojadocafe - 9,lojadocafe - 9,,,,,,http://www.lojadocafe.com.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Coffee & Tea // 1. Screening phase: Not distinctive  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,merceariadossabores - 10,merceariadossabores - 10,,,,,,http://www.merceariadossabores.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Coffee & Tea // 1. Screening phase: Lack of public info  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,acuista - 11,acuista - 11,,,,,,http://www.acuista.pt/,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: Consumer electronics // 1. Screening phase: Financial distress  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Ecommerce in financial distress,,,,,,,
,,,andorrafreemarket - 12,andorrafreemarket - 12,,,,,,http://www.andorrafreemarket.com/,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: Consumer electronics // 1. Screening phase: Not distinctive  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Computers/Electronics,,,,,,,
,,,pccomponentes - 13,pccomponentes - 13,,,,,,http://www.pccomponentes.com/,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: Consumer electronics // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Computers/Electronics,,,,,,,
,,,kikocosmetics - 14,kikocosmetics - 14,,,,,,http://www.kikocosmetics.com/,-,-,-,-,Italy,Out_of_scope,,3,,Excluded,Brief description: Cosmetics // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
